"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 24 22:16:53 GMT 2025","Mon Mar 24 22:16:53 GMT 2025","10","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate","Тест получения даты последнего сеанса пользователя [1] Пустой список сеансов, Optional.empty",""
"passed","Mon Mar 24 22:16:51 GMT 2025","Mon Mar 24 22:16:51 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetWithoutParams","Тест get-запросов без параметров [1] /totalActivity",""
"passed","Mon Mar 24 22:16:53 GMT 2025","Mon Mar 24 22:16:53 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [3] 59, Inactive",""
"passed","Mon Mar 24 22:16:53 GMT 2025","Mon Mar 24 22:16:53 GMT 2025","4","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [2] 30, Inactive",""
"passed","Mon Mar 24 22:16:52 GMT 2025","Mon Mar 24 22:16:52 GMT 2025","13","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionWithNonExistentUser","Тест записи сессии для несуществующего пользователя",""
"passed","Mon Mar 24 22:16:51 GMT 2025","Mon Mar 24 22:16:51 GMT 2025","74","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии [1] 2025-01-01T10:10:10, 2025-01-01T11:10:10",""
"passed","Mon Mar 24 22:16:51 GMT 2025","Mon Mar 24 22:16:51 GMT 2025","16","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testPostWithoutParams","Тест post-запросов без параметров [2] /recordSession",""
"failed","Mon Mar 24 22:16:52 GMT 2025","Mon Mar 24 22:16:52 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testTotalActivityWithNonExistentUser","Тест получения активности для несуществующего пользователя",""
"passed","Mon Mar 24 22:16:51 GMT 2025","Mon Mar 24 22:16:51 GMT 2025","20","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testPostWithoutParams","Тест post-запросов без параметров [1] /register",""
"passed","Mon Mar 24 22:16:51 GMT 2025","Mon Mar 24 22:16:52 GMT 2025","28","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers","Тест получения списка неактивных пользователей [1] 1, [""user1""]",""
"passed","Mon Mar 24 22:16:53 GMT 2025","Mon Mar 24 22:16:53 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [6] 119, Active",""
"passed","Mon Mar 24 22:16:51 GMT 2025","Mon Mar 24 22:16:51 GMT 2025","12","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivityBadFormat","Тест получения месячной активности пользователя с неверным форматом аргументом [2] no, 2025-01",""
"passed","Mon Mar 24 22:16:51 GMT 2025","Mon Mar 24 22:16:51 GMT 2025","13","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetWithoutParams","Тест get-запросов без параметров [2] /inactiveUsers",""
"passed","Mon Mar 24 22:16:52 GMT 2025","Mon Mar 24 22:16:52 GMT 2025","16","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers","Тест получения списка неактивных пользователей [2] 100000, []",""
"passed","Mon Mar 24 22:16:49 GMT 2025","Mon Mar 24 22:16:50 GMT 2025","1649","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя",""
"passed","Mon Mar 24 22:16:51 GMT 2025","Mon Mar 24 22:16:51 GMT 2025","12","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivityBadFormat","Тест получения месячной активности пользователя с неверным форматом аргументом [1] user123, fon",""
"passed","Mon Mar 24 22:16:51 GMT 2025","Mon Mar 24 22:16:51 GMT 2025","29","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsersBadNumberFormat","Тест получения неактивных пользователей с неверным форматом числа дней",""
"passed","Mon Mar 24 22:16:51 GMT 2025","Mon Mar 24 22:16:51 GMT 2025","467","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity","Тест получения месячной активности пользователя [1] 2025-01",""
"passed","Mon Mar 24 22:16:53 GMT 2025","Mon Mar 24 22:16:53 GMT 2025","7","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [8] 200, Highly active",""
"passed","Mon Mar 24 22:16:51 GMT 2025","Mon Mar 24 22:16:51 GMT 2025","18","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetWithoutParams","Тест get-запросов без параметров [3] /monthlyActivity",""
"passed","Mon Mar 24 22:16:53 GMT 2025","Mon Mar 24 22:16:53 GMT 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [5] 90, Active",""
"passed","Mon Mar 24 22:16:52 GMT 2025","Mon Mar 24 22:16:52 GMT 2025","16","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testMonthlyActivityWithNonExistentUser","Тест месячной активности для несуществующего пользователя",""
"passed","Mon Mar 24 22:16:53 GMT 2025","Mon Mar 24 22:16:53 GMT 2025","4","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate","Тест получения даты последнего сеанса пользователя [4] Список из двух сеансов, неупорядочены, Optional[2025-03-24]",""
"failed","Mon Mar 24 22:16:51 GMT 2025","Mon Mar 24 22:16:51 GMT 2025","80","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testExistUserRegistration","Тест повторной регистрации пользователя",""
"passed","Mon Mar 24 22:16:53 GMT 2025","Mon Mar 24 22:16:53 GMT 2025","5","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate","Тест получения даты последнего сеанса пользователя [2] Список из одного сеанса, Optional[2025-03-24]",""
"passed","Mon Mar 24 22:16:53 GMT 2025","Mon Mar 24 22:16:53 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate","Тест получения даты последнего сеанса пользователя [3] Список из двух сеансов, упорядочены, Optional[2025-03-24]",""
"passed","Mon Mar 24 22:16:53 GMT 2025","Mon Mar 24 22:16:53 GMT 2025","8","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [7] 120, Highly active",""
"passed","Mon Mar 24 22:16:51 GMT 2025","Mon Mar 24 22:16:51 GMT 2025","30","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionBadDateFormat","Тест записи сессии с некорректным форматом даты [1] 2024-10-02T00:00:00, 0",""
"passed","Mon Mar 24 22:16:51 GMT 2025","Mon Mar 24 22:16:51 GMT 2025","54","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","Тест получения общего времени активности",""
"passed","Mon Mar 24 22:16:51 GMT 2025","Mon Mar 24 22:16:51 GMT 2025","47","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionBadDateFormat","Тест записи сессии с некорректным форматом даты [2] 0, 2024-10-02T00:00:00",""
"passed","Mon Mar 24 22:16:53 GMT 2025","Mon Mar 24 22:16:53 GMT 2025","162","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [1] 0, Inactive",""
"passed","Mon Mar 24 22:16:53 GMT 2025","Mon Mar 24 22:16:53 GMT 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [4] 60, Active",""
